Unnamed: 0,original,normalized,prediction
0,"K nên bới đồ ăn thật nhưng cũng nên đổi người yêu, nếu là ng yêu mình thì a ấy sẽ tự lấy phần nạc cho m rồi, m cũng k ăn đồ mỡ nè","Không nên bới đồ ăn thật nhưng cũng nên đổi người yêu, nếu là người yêu mình thì anh ấy sẽ tự lấy phần nạc cho mình rồi, mình cũng không ăn đồ mỡ nè","K nên bới đồ ăn thật nhưng cũng nên đổi người yêu, nếu là người yêu mình thì anh ấy sẽ tự lấy phần nạc cho mình rồi, mày cũng không ăn đồ mỡ nè"
1,Tay này gọt đc k,Tay này gọt được không,Tay này gọt được không
2,giống khẩu phần hồi covid của t ha m ha,giống khẩu phần hồi covid của tao ha mày ha,giống khẩu phần hồi covid của tôi ha mọi người ha
3,"Trong gia đình vk ck mà làm vậy đã thấy khó chịu rồi, đằng này còn ra mắt nhà ny lần đầu","Trong gia đình vợ chồng mà làm vậy đã thấy khó chịu rồi, đằng này còn ra mắt nhà người yêu lần đầu","Trong gia đình vợ chồng chồng mà làm vậy đã thấy khó chịu rồi, đằng này còn ra mắt nhà người yêu lần đầu"
4,Bộ học sjnk dỏi thì phải lun thân thiện còn học sjnk truq bìk thì xấu xa à?,Bộ học sinh giỏi thì phải luôn thân thiện còn học sinh trung bình thì xấu xa à?,Bộ học sinh giỏi thì phải luôn thân thiện còn học sinh trung bình thì xấu xa à?
5,các founder có nhận fb ko,các founder có nhận fb không,các founder có nhận fb không
6,Sv đh gia đình chưa cho đi làm:)),Sinh viên đại học gia đình chưa cho đi làm:)),Sv đh gia đình chưa cho đi làm:))
7,"đảm bảo dáng ngol, giảm cân cấp tốc là đây chứ k phải trà hay ăn sữa chua yến mạch gì đâu","đảm bảo dáng ngon, giảm cân cấp tốc là đây chứ không phải trà hay ăn sữa chua yến mạch gì đâu","đảm bảo dáng người luôn, giảm cân cấp tốc là đây chứ không phải trà hay ăn sữa chua yến mạch gì đâu"
8,"giống từ móng tay móng chân,mũi to như bố,da trăng cũng y hệt,giống cả mùi mồ hôi và hahahhaha tôi mới phát hiện nó có tóc bạc y bố nó,tôi hơn nó 30t mà tôi còn chưa có","giống từ móng tay móng chân,mũi to như bố,da trắng cũng y hệt,giống cả mùi mồ hôi và hahahhaha tôi mới phát hiện nó có tóc bạc y bố nó,tôi hơn nó 30t mà tôi còn chưa có","giống từ móng tay móng chân,mũi to như bố,da trăng cũng y hệt,giống cả mùi mồ hôi và hahahhaha tôi mới phát hiện nó có tóc bạc y bố nó,tôi hơn nó 30t mà tôi còn chưa có"
9,bộ này vui vs hài ghê m mốt mua ik t vs m mặc chug ké nhau z ă,bộ này vui với hài ghê mày mốt mua đi tao với mày mặc chung ké nhau vậy á,bộ này vui với hài ghê mọi người mua đi tôi với mọi mặc chung với nhau vậy á
10,Liệu tết này có còn dc về quê?,Liệu tết này có còn được về quê?,Liệu tết này có còn được về quê?
11,Cùng thuyền với bác cháu mình àh?,Cùng thuyền với bác cháu mình à?,Cùng thuyền với bác cháu mình à?
12,"Nèk, lấy học liệu tiếp đón khách :((","Nè, lấy học liệu tiếp đón khách :((","Nè, lấy học liệu tiếp đón khách("
13,sao e công nghiệp vậy =))),sao em công nghiệp vậy =))),sao em công nghiệp vậy =)))
14,móa lần nào đọc cũng cười sặc =))),má lần nào đọc cũng cười sặc =))),móa lần nào đọc cũng cười sặc =)))
15,"Phàm những người phụ nữ ko biết đòi hỏi, ko này ko nọ với ông chồng nên các ông mặc định để cho vợ gánh","Phàm những người phụ nữ không biết đòi hỏi, không này không nọ với ông chồng nên các ông mặc định để cho vợ gánh","Làm những người phụ nữ không biết đòi hỏi, không này không nọ với ông chồng nên các ông mặc định để cho vợ gánh"
16,dang o tieu vuong quoc ma an noi kieu day ha,đang ở tiểu vương quốc mà ăn nói kiểu đấy hả,Đảng ở tiểu vương quốc mà ăn nói kiểu dạy ha
17,thôi đi có dc ko :)),thôi đi có được không :)),thôi đi có được không
18,sao mệt mỏi quá z,sao mệt mỏi quá vậy,sao mệt mỏi quá vậy
19,thì ảnh hưởng đ gì ?,thì ảnh hưởng đéo gì ?,thì ảnh hưởng đéo gì ?
20,Cũng sợ ngta giận mà nhớ ra mình có tiền đâu mà cho ngta vay :((,Cũng sợ người ta giận mà nhớ ra mình có tiền đâu mà cho người ta vay :((,Cũng sợ người ta giận mà nhớ ra mình có tiền đâu mà cho người ta vay(
21,bỏ mẹ lại nhớ đến chị guột cùng nốt ruồi son rồi,bỏ mẹ lại nhớ đến chị ruột cùng nốt ruồi son rồi,bỏ mẹ lại nhớ đến chị ruột cùng nốt ruồi son rồi
22,con mắm này nó dth qué chời á,con mắm này nó dễ thương quá trời á,con mắm này nó đth qué chời á
23,"K ngờ workreform vẫn còn sống sau cái vụ antiwork mod và adm phá, cố ý ban sub này  sau drama đó thì antiwork đáng bị ban hơn.","Không ngờ workreform vẫn còn sống sau cái vụ antiwork mod và adm phá, cố ý ban sub này sau drama đó thì antiwork đáng bị ban hơn.","K ngờ work vẫn còn sống sau cái vụ antiwork mod và adm phá, cố ý ban sub này sau drama đó thì antiwork đáng bị ban hơn."
24,kêu là a ta mới là người cô yêu a ta tốt với cô..,kêu là anh ta mới là người cô yêu anh ta tốt với cô..,kêu là anh ta mới là người cô yêu anh ta tốt với cô..
25,nhiều cái đỡ hỏng nỏiii,nhiều cái đỡ không nổi,nhiều cái đỡ hỏng nỏi
26,Hình này Đặng Siêu mới chụp hôm qua ó,Hình này Đặng Siêu mới chụp hôm qua á,Hình này Đặng Siêu mới chụp hôm qua ó
27,Chăc e nay sn 2005,Chắc em nay sinh năm 2006,Chăc e nay sn 2005
28,cậu phải dư lày lày,cậu phải như này này,cậu phải dư này lày
29,khôm bít 2 bà tới trình độ vày ch,không biết 2 bà tới trình độ vầy chưa,Khâm bít 2 bà tới trình độ vày ch
